Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price,Split
Heidelberg Heights,82 Southern Rd,3,h,S,Miles,16/04/2016,10.5,3081.0,3.0,1.0,2.0,582.0,90.0,1955.0,Banyule,-37.7422,145.05,Eastern Metropolitan,2947.0,650000.0,Train
Malvern,42 Cressy St,2,h,VB,Jellis,14/05/2016,7.4,3144.0,2.0,0.0,0.0,0.0,,,Stonnington,-37.8502,145.0418,Southern Metropolitan,4675.0,780000.0,Train
Prahran,4 Anchor Pl,4,h,S,Gary,17/06/2017,4.6,3181.0,4.0,2.0,1.0,105.0,,,Stonnington,-37.85102,144.99408,Southern Metropolitan,7717.0,1805000.0,Train
Brighton,1 Airlie St,3,h,S,Marshall,16/09/2017,10.5,3186.0,3.0,1.0,3.0,287.0,110.0,1910.0,,-37.88879,144.99833,Southern Metropolitan,10579.0,1342000.0,Train
Moonee Ponds,35 Addison St,4,h,S,Nelson,12/11/2016,6.9,3039.0,4.0,1.0,3.0,539.0,190.0,1900.0,Moonee Valley,-37.7701,144.9287,Western Metropolitan,6232.0,1637000.0,Train
Reservoir,75 Botha Av,4,h,S,Ray,16/09/2017,12.0,3073.0,4.0,1.0,2.0,871.0,,,,-37.70056,145.00345,Northern Metropolitan,21650.0,912000.0,Train
Strathmore,8 Jones Ct,3,h,S,Considine,8/04/2017,9.7,3041.0,3.0,2.0,2.0,371.0,183.0,2014.0,Moonee Valley,-37.7229,144.9055,Western Metropolitan,3284.0,1021000.0,Train
Westmeadows,26 Coghill St,3,h,S,Jason,1/07/2017,16.5,3049.0,3.0,2.0,1.0,308.0,,,Hume,-37.67485,144.88995,Northern Metropolitan,2474.0,578000.0,Train
Hampton,36 May St,4,t,VB,Buxton,23/09/2017,13.8,3188.0,4.0,3.0,2.0,360.0,275.0,2010.0,,-37.937,145.01169,Southern Metropolitan,5454.0,2000000.0,Train
Richmond,29 Type St,2,h,S,Biggin,16/09/2017,2.4,3121.0,2.0,1.0,,135.0,86.0,1890.0,,-37.82132,145.00973,Northern Metropolitan,14949.0,1200000.0,Train
Bentleigh East,45 Tambet St,3,h,SP,Buxton,3/09/2017,13.8,3165.0,3.0,2.0,2.0,616.0,154.0,1960.0,,-37.91506,145.07121,Southern Metropolitan,10969.0,1470000.0,Train
Mitcham,29 Fuller St,3,h,S,Noel,1/07/2017,17.2,3132.0,3.0,1.0,2.0,608.0,138.0,1975.0,Whitehorse,-37.82583,145.20608,Eastern Metropolitan,6871.0,950000.0,Train
Craigieburn,84 Royal Tce,3,t,S,Ray,27/05/2017,20.6,3064.0,3.0,2.0,2.0,219.0,175.0,2010.0,Hume,-37.57243,144.92663000000005,Northern Metropolitan,15510.0,420000.0,Train
Sandringham,124 Abbott St,3,h,S,Buxton,22/07/2017,15.2,3191.0,3.0,2.0,1.0,390.0,125.0,1950.0,Bayside,-37.95035,145.01571,Southern Metropolitan,4497.0,1651000.0,Train
Preston,340 Plenty Rd,4,h,S,McGrath,23/09/2017,8.4,3072.0,4.0,1.0,2.0,678.0,,,,-37.74283,145.0086,Northern Metropolitan,14577.0,950000.0,Train
Footscray,4/5 Empire St,2,u,SP,Gunn&Co,15/10/2016,6.4,3011.0,2.0,1.0,1.0,0.0,69.0,1960.0,Maribyrnong,-37.7903,144.891,Western Metropolitan,7570.0,295000.0,Train
Watsonia North,37 Huntley St,3,h,S,Barry,8/07/2017,14.5,3087.0,3.0,1.0,2.0,527.0,,,Banyule,-37.70039000000001,145.08957,Northern Metropolitan,1442.0,790000.0,Train
Bentleigh East,115 Bignell Rd,2,h,S,Buxton,30/07/2016,13.9,3165.0,2.0,1.0,2.0,750.0,,,Glen Eira,-37.9325,145.0694,Southern Metropolitan,10969.0,1160000.0,Train
Oakleigh,3/21 John St,2,h,S,Barry,19/11/2016,14.0,3166.0,2.0,1.0,1.0,156.0,,,Monash,-37.9024,145.1008,Southern Metropolitan,3224.0,655000.0,Train
Carrum Downs,40 Brumbys Rd,4,h,S,Harcourts,16/09/2017,34.9,3201.0,4.0,2.0,2.0,549.0,,2005.0,,-38.09601,145.19633000000005,South-Eastern Metropolitan,8060.0,609000.0,Train
Brighton East,5 Florence St,4,h,S,Nick,4/06/2016,10.7,3187.0,4.0,2.0,2.0,597.0,,,Bayside,-37.9179,145.019,Southern Metropolitan,6938.0,1495000.0,Train
Scoresby,72 Arnold Dr,4,h,S,Purplebricks,22/07/2017,22.2,3179.0,4.0,2.0,2.0,1134.0,152.0,1970.0,Knox,-37.89496,145.23404,Eastern Metropolitan,2206.0,1040000.0,Train
Craigieburn,7 Eve Ct,3,h,S,YPA,19/08/2017,20.6,3064.0,3.0,1.0,0.0,947.0,132.0,1972.0,,-37.59604,144.94021999999995,Northern Metropolitan,15510.0,582500.0,Train
Kooyong,6/1 Monaro Rd,2,h,S,hockingstuart,15/10/2016,6.2,3144.0,2.0,2.0,2.0,0.0,,,Stonnington,-37.8407,145.0343,Southern Metropolitan,394.0,1290000.0,Train
Murrumbeena,1/178 Murrumbeena Rd,2,t,S,hockingstuart,23/04/2016,12.1,3163.0,2.0,2.0,2.0,1318.0,,2008.0,Glen Eira,-37.8969,145.0654,Southern Metropolitan,4442.0,720000.0,Train
Glen Iris,43 Pascoe St,3,h,S,hockingstuart,4/03/2017,9.2,3146.0,3.0,1.0,2.0,627.0,,,Boroondara,-37.8599,145.0898,Southern Metropolitan,10412.0,1780000.0,Train
Broadmeadows,23 Bicknell Ct,3,h,S,Stockdale,3/09/2017,14.0,3047.0,3.0,1.0,1.0,659.0,,,,-37.69404,144.91763999999995,Northern Metropolitan,4294.0,673000.0,Train
Brighton East,9 Dunoon Ct,3,h,S,Marshall,3/09/2017,10.3,3187.0,3.0,2.0,3.0,594.0,,,,-37.91166,145.02265,Southern Metropolitan,6938.0,1590000.0,Train
Thomastown,2/4 Currajong St,3,u,S,Love,24/06/2017,15.3,3074.0,3.0,1.0,1.0,340.0,,1980.0,Whittlesea,-37.67803,145.01769,Northern Metropolitan,7955.0,460000.0,Train
Northcote,13 Vauxhall Rd,3,h,S,Jellis,27/11/2016,5.5,3070.0,3.0,1.0,2.0,501.0,,,Darebin,-37.7771,145.0116,Northern Metropolitan,11364.0,1610000.0,Train
Collingwood,10/76 Oxford St,2,u,S,Biggin,17/09/2016,1.6,3066.0,2.0,1.0,1.0,0.0,92.0,1900.0,Yarra,-37.8035,144.985,Northern Metropolitan,4553.0,683000.0,Train
Hampton Park,14 Tatterson St,3,h,S,Harcourts,27/05/2017,33.3,3976.0,3.0,2.0,3.0,646.0,,,Casey,-38.03378,145.2621,South-Eastern Metropolitan,8256.0,561000.0,Train
Ashwood,95 Huntingdale Rd,4,h,VB,Tim,10/12/2016,12.2,3147.0,3.0,2.0,2.0,803.0,152.0,1970.0,Monash,-37.8621,145.1126,Southern Metropolitan,2894.0,1100000.0,Train
Mill Park,49 Romano Av,4,h,S,Ray,8/07/2017,17.9,3082.0,4.0,2.0,1.0,531.0,175.0,1970.0,Whittlesea,-37.65121,145.05404,Northern Metropolitan,10529.0,550000.0,Train
Sunshine,65 Devonshire Rd,3,h,VB,GL,17/06/2017,10.5,3020.0,3.0,1.0,2.0,459.0,114.0,1970.0,Brimbank,-37.78519,144.83651,Western Metropolitan,3755.0,810000.0,Train
Beaconsfield,12 Windsor Dr,4,h,SP,Harcourts,22/07/2017,39.0,3807.0,4.0,2.0,2.0,900.0,244.0,2005.0,Cardinia,-38.05614,145.38464,Eastern Victoria,2332.0,670000.0,Train
Cremorne,443 Punt Rd,3,h,S,Biggin,7/11/2016,2.5,3121.0,3.0,2.0,2.0,324.0,165.0,1880.0,Yarra,-37.8278,144.9885,Northern Metropolitan,1123.0,1280000.0,Train
Northcote,14 Henry St,2,h,S,Nelson,12/06/2016,5.5,3070.0,4.0,1.0,2.0,238.0,,,Darebin,-37.7732,144.9957,Northern Metropolitan,11364.0,1112000.0,Train
Avondale Heights,55 Ridge Dr,5,h,VB,Barry,22/07/2017,9.5,3034.0,5.0,2.0,3.0,577.0,166.0,1985.0,Moonee Valley,-37.75261,144.85631,Western Metropolitan,4502.0,800000.0,Train
Deer Park,4 Blackley Ct,3,h,S,HAR,19/08/2017,14.8,3023.0,3.0,1.0,2.0,712.0,,,,-37.76172,144.77265,Western Metropolitan,6388.0,635000.0,Train
Keilor,71 Church St,4,h,PI,Daniel,26/08/2017,14.5,3036.0,4.0,2.0,4.0,556.0,250.0,1978.0,,-37.72026,144.83143,Western Metropolitan,2339.0,1125000.0,Train
Oakleigh,1472 Dandenong Rd,2,h,PI,Woodards,22/05/2016,14.0,3166.0,2.0,2.0,2.0,607.0,138.0,1950.0,Monash,-37.8964,145.0977,Southern Metropolitan,3224.0,750000.0,Train
Newport,16 Thorpe St,3,h,PI,Sweeney,29/04/2017,8.4,3015.0,3.0,1.0,6.0,761.0,,,Hobsons Bay,-37.8464,144.865,Western Metropolitan,5498.0,1100000.0,Train
Keilor East,23 Phillip Rd,4,h,S,Barry,22/07/2017,11.7,3033.0,4.0,1.0,1.0,534.0,,,Moonee Valley,-37.74807,144.86927,Western Metropolitan,5629.0,880000.0,Train
Pascoe Vale,3/191 Sussex St,2,t,VB,Brad,23/04/2016,9.9,3044.0,2.0,1.0,1.0,105.0,88.0,2014.0,Moreland,-37.7233,144.9507,Northern Metropolitan,7485.0,410000.0,Train
Bentleigh,15 Wilson St,4,h,S,hockingstuart,16/07/2016,13.0,3204.0,4.0,2.0,1.0,576.0,,1920.0,Glen Eira,-37.9152,145.0244,Southern Metropolitan,6795.0,1385000.0,Train
Port Melbourne,201 Stokes St,2,h,SP,Marshall,26/08/2017,3.5,3207.0,2.0,2.0,,197.0,,,,-37.83754,144.93954,Southern Metropolitan,8648.0,1515000.0,Train
Bentleigh East,1 Gladesville Dr,5,h,S,Buxton,1/07/2017,13.8,3165.0,5.0,2.0,2.0,611.0,188.0,1950.0,Glen Eira,-37.93228,145.07026000000005,Southern Metropolitan,10969.0,1220000.0,Train
Brunswick West,11 Henderson St,4,h,VB,Jellis,12/08/2017,5.2,3055.0,4.0,2.0,3.0,444.0,256.0,1997.0,Moreland,-37.7628,144.94011,Northern Metropolitan,7082.0,1500000.0,Train
Reservoir,104 Purinuan Rd,3,h,SP,hockingstuart,27/05/2017,12.0,3073.0,3.0,2.0,2.0,289.0,147.0,2009.0,Darebin,-37.70798,145.02101000000005,Northern Metropolitan,21650.0,635000.0,Train
Brunswick West,7 Zeal St,2,h,S,Raine,16/04/2016,5.9,3055.0,2.0,1.0,4.0,576.0,,,Moreland,-37.7578,144.9439,Northern Metropolitan,7082.0,910000.0,Train
Ascot Vale,119 Roseberry St,2,h,SP,Maddison,4/06/2016,5.9,3032.0,2.0,1.0,1.0,226.0,92.0,1920.0,Moonee Valley,-37.7745,144.9093,Western Metropolitan,6567.0,750000.0,Train
Heidelberg,4/51 Yarra St,2,t,S,Miles,6/08/2016,10.6,3084.0,2.0,1.0,1.0,182.0,110.0,1973.0,Banyule,-37.7587,145.0657,Eastern Metropolitan,2890.0,705000.0,Train
Windsor,201/152 Peel St,2,u,PI,hockingstuart,29/07/2017,4.6,3181.0,2.0,1.0,1.0,0.0,61.6,2012.0,Stonnington,-37.85581,144.99025,Southern Metropolitan,4380.0,560000.0,Train
Brunswick,109 Stewart St,3,h,S,Nelson,28/08/2016,5.2,3056.0,3.0,2.0,1.0,316.0,,,Moreland,-37.7643,144.9713,Northern Metropolitan,11918.0,1080000.0,Train
Bentleigh,156 Patterson Rd,3,h,S,Buxton,6/08/2016,13.0,3204.0,3.0,1.0,2.0,692.0,164.0,1940.0,Glen Eira,-37.9263,145.04,Southern Metropolitan,6795.0,1110000.0,Train
Chadstone,1/11 Hiscock St,3,t,S,Ray,8/07/2017,11.7,3148.0,3.0,2.0,1.0,0.0,127.0,2011.0,Monash,-37.88289,145.09871,Southern Metropolitan,3582.0,930000.0,Train
Brunswick East,156 Glenlyon Rd,3,h,S,Nelson,27/06/2016,4.5,3057.0,3.0,1.0,1.0,279.0,122.0,1900.0,Moreland,-37.7729,144.9722,Northern Metropolitan,5533.0,1050000.0,Train
Coburg,133 Rennie St,2,h,SP,Jellis,30/07/2016,7.8,3058.0,2.0,1.0,1.0,702.0,,,Moreland,-37.7517,144.9795,Northern Metropolitan,11204.0,645000.0,Train
Altona,41 Maidstone St,3,u,SP,Barlow,12/08/2017,11.0,3018.0,3.0,2.0,1.0,305.0,132.0,2005.0,Hobsons Bay,-37.871,144.81153,Western Metropolitan,5301.0,767000.0,Train
Watsonia,57 Frensham Rd,3,h,S,Barry,3/12/2016,14.9,3087.0,3.0,2.0,2.0,567.0,100.0,1970.0,Banyule,-37.7148,145.0851,Northern Metropolitan,2329.0,581000.0,Train
Hadfield,75 West St,3,h,S,Stockdale,10/12/2016,12.1,3046.0,3.0,2.0,2.0,565.0,116.0,1960.0,Moreland,-37.7094,144.9377,Northern Metropolitan,2606.0,800000.0,Train
Hadfield,3A Neil St,2,t,S,Eview,8/07/2017,11.2,3046.0,2.0,2.0,1.0,201.0,111.0,2005.0,Moreland,-37.71147,144.93927,Northern Metropolitan,2606.0,595000.0,Train
Wonga Park,2 Rindlebrook Pl,3,h,VB,Morrison,12/08/2017,25.2,3115.0,3.0,2.0,2.0,0.0,177.0,,Manningham,-37.75912,145.28886,Eastern Victoria,1328.0,900000.0,Train
Fitzroy North,10/51 Delbridge St,1,u,S,Jellis,27/05/2017,3.6,3068.0,1.0,1.0,1.0,0.0,,,Yarra,-37.78737,144.98735,Northern Metropolitan,6244.0,495000.0,Train
Keilor East,564 Buckley St,3,h,S,Nelson,16/04/2016,12.8,3033.0,2.0,2.0,1.0,221.0,,,Moonee Valley,-37.7504,144.8594,Western Metropolitan,5629.0,630000.0,Train
Glen Waverley,2/51 Avonhurst Dr,2,u,S,Harcourts,22/07/2017,16.7,3150.0,2.0,1.0,1.0,345.0,120.0,2012.0,Monash,-37.89919,145.14856,Eastern Metropolitan,15321.0,656000.0,Train
Ringwood North,5 Unsworth Rd,4,h,S,Philip,16/09/2017,19.9,3134.0,4.0,2.0,2.0,1019.0,,,,-37.8004,145.23256999999995,Eastern Metropolitan,3619.0,1283000.0,Train
Armadale,2/377 Dandenong Rd,2,u,S,Jellis,25/02/2017,6.3,3143.0,2.0,1.0,1.0,1194.0,,1953.0,Stonnington,-37.8604,145.0147,Southern Metropolitan,4836.0,872000.0,Train
Sunshine,7 Whitty St,2,h,S,Barry,18/06/2016,12.6,3020.0,2.0,1.0,1.0,254.0,,,Brimbank,-37.7881,144.8354,Western Metropolitan,3755.0,555000.0,Train
St Kilda,1/260 St Kilda Rd,2,u,S,Gary,18/03/2017,6.1,3182.0,2.0,1.0,1.0,0.0,,,Port Phillip,-37.8635,144.9857,Southern Metropolitan,13240.0,640000.0,Train
Strathmore,43 Woolart St,4,h,S,Considine,6/08/2016,9.7,3041.0,3.0,2.0,1.0,794.0,,1970.0,Moonee Valley,-37.7196,144.9062,Western Metropolitan,3284.0,1015000.0,Train
Broadmeadows,48 Walsh St,3,h,S,hockingstuart,8/07/2017,14.0,3047.0,3.0,1.0,1.0,341.0,71.0,1965.0,Hume,-37.6886,144.92281,Northern Metropolitan,4294.0,386000.0,Train
Williamstown,15 Kingshott Cl,4,h,VB,Greg,29/04/2017,8.0,3016.0,4.0,3.0,2.0,450.0,,,Hobsons Bay,-37.8617,144.8786,Western Metropolitan,6380.0,1500000.0,Train
Maidstone,29 Rosamond Rd,3,h,SP,Biggin,7/11/2016,9.2,3012.0,3.0,1.0,2.0,305.0,,,Maribyrnong,-37.7858,144.8834,Western Metropolitan,3873.0,725000.0,Train
Hadfield,41 Davies St,4,h,S,Stockdale,4/06/2016,12.1,3046.0,3.0,2.0,2.0,595.0,,1983.0,Moreland,-37.7116,144.9468,Northern Metropolitan,2606.0,772500.0,Train
Melbourne,709/87 Franklin St,2,u,S,MICM,29/07/2017,0.0,3000.0,2.0,1.0,0.0,89.0,85.0,2003.0,Melbourne,-37.80802,144.96168,Northern Metropolitan,17496.0,565000.0,Train
Hawthorn East,2 Fairmount Rd,4,h,S,RT,3/06/2017,6.2,3123.0,4.0,2.0,2.0,528.0,199.0,1980.0,Boroondara,-37.83539,145.0431,Southern Metropolitan,6482.0,2320000.0,Train
Templestowe,7 Clays Ct,4,h,S,Barry,8/07/2017,15.5,3106.0,4.0,3.0,2.0,896.0,215.0,1985.0,Manningham,-37.76797,145.13799,Eastern Metropolitan,6202.0,1635000.0,Train
Maribyrnong,28 Blair St,2,t,PI,Rendina,24/09/2016,8.7,3032.0,2.0,1.0,2.0,54.0,85.0,2000.0,Maribyrnong,-37.774,144.8797,Western Metropolitan,4918.0,400000.0,Train
Yarraville,29 Newcastle St,2,h,S,hockingstuart,4/02/2016,7.0,3013.0,2.0,1.0,0.0,166.0,,1920.0,Maribyrnong,-37.8209,144.8913,Western Metropolitan,6543.0,890000.0,Train
Alphington,11 Margaret Gr,4,h,SP,McGrath,27/11/2016,6.4,3078.0,4.0,2.0,2.0,556.0,272.0,1930.0,Yarra,-37.7844,145.0225,Northern Metropolitan,2211.0,1900000.0,Train
St Kilda,26/69 Wellington St,1,u,SP,Gary,8/10/2016,6.1,3182.0,1.0,1.0,1.0,0.0,59.0,1995.0,Port Phillip,-37.8568,144.9873,Southern Metropolitan,13240.0,459000.0,Train
Footscray,32 Commercial Rd,3,h,S,Burnham,7/11/2016,6.4,3011.0,3.0,1.0,3.0,585.0,120.0,1950.0,Maribyrnong,-37.7941,144.8924,Western Metropolitan,7570.0,1155000.0,Train
Lalor,1 Ashdown Ct,3,h,SP,Ray,26/08/2017,16.3,3075.0,3.0,1.0,2.0,418.0,,,,-37.66349,145.03391000000005,Northern Metropolitan,8279.0,671000.0,Train
Richmond,5 Union St,3,h,S,Biggin,30/07/2016,2.6,3121.0,3.0,1.0,2.0,248.0,100.0,1900.0,Yarra,-37.8185,144.9935,Northern Metropolitan,14949.0,1520000.0,Train
Prahran,48 Wrights Tce,2,h,S,Beller,7/05/2016,4.5,3181.0,2.0,1.0,0.0,288.0,160.0,1900.0,Stonnington,-37.8512,145.0053,Southern Metropolitan,7717.0,1303000.0,Train
Windsor,7/23 The Avenue,1,u,VB,Beller,19/11/2016,5.1,3181.0,1.0,1.0,1.0,705.0,,,Stonnington,-37.8556,144.9977,Southern Metropolitan,4380.0,300000.0,Train
Oak Park,5/4 Ethel St,3,u,S,Jason,10/09/2016,11.5,3046.0,3.0,1.0,1.0,0.0,,,Moreland,-37.7233,144.9168,Northern Metropolitan,2651.0,358500.0,Train
Burwood,23 Cromwell St,3,h,S,Buxton,26/08/2017,10.4,3125.0,3.0,2.0,1.0,735.0,,,,-37.85296,145.1055,Southern Metropolitan,5678.0,1238000.0,Train
Moorabbin,19 Hamer St,3,h,S,O'Brien,3/09/2016,14.6,3189.0,3.0,2.0,2.0,573.0,150.0,1970.0,Kingston,-37.9428,145.04399999999995,Southern Metropolitan,2555.0,1000000.0,Train
Northcote,6/229 Westgarth St,1,u,VB,Haughton,13/05/2017,5.5,3070.0,1.0,1.0,1.0,0.0,,1970.0,Darebin,-37.7827,145.0113,Northern Metropolitan,11364.0,280000.0,Train
Kensington,41 Barnett St,3,h,S,Nelson,10/09/2016,4.2,3031.0,3.0,1.0,0.0,239.0,135.0,1910.0,Melbourne,-37.7923,144.9324,Northern Metropolitan,5263.0,1165000.0,Train
Malvern East,375 Waverley Rd,4,h,PI,Thomson,3/09/2016,11.2,3145.0,3.0,2.0,4.0,727.0,,,Stonnington,-37.8779,145.0651,Southern Metropolitan,8801.0,1675000.0,Train
Glenroy,39 Morley St,3,h,S,Barry,3/12/2016,13.0,3046.0,3.0,1.0,2.0,766.0,127.0,1965.0,Moreland,-37.6988,144.9372,Northern Metropolitan,8870.0,806500.0,Train
Richmond,508/18 Tanner St,1,u,S,hockingstuart,10/09/2016,2.6,3121.0,1.0,1.0,1.0,0.0,50.0,2004.0,Yarra,-37.8231,144.9906,Northern Metropolitan,14949.0,681000.0,Train
Flemington,11 Finsbury St,3,h,S,Nelson,8/10/2016,4.4,3031.0,3.0,1.0,0.0,294.0,140.0,1900.0,Moonee Valley,-37.7856,144.9292,Northern Metropolitan,3593.0,1130000.0,Train
West Footscray,6 Argyle St,3,h,PI,Village,3/06/2017,6.4,3012.0,3.0,2.0,1.0,342.0,123.0,1920.0,Maribyrnong,-37.79369000000001,144.87511,Western Metropolitan,5058.0,1155000.0,Train
Seddon,201 Buckley St,2,h,S,hockingstuart,23/09/2017,5.1,3011.0,2.0,1.0,0.0,298.0,88.0,1900.0,,-37.80257,144.88811,Western Metropolitan,2417.0,680000.0,Train
Burwood,46 Cumming St,4,h,S,McGrath,29/04/2017,11.7,3125.0,4.0,2.0,1.0,863.0,165.0,1940.0,Whitehorse,-37.8539,145.1127,Southern Metropolitan,5678.0,1601000.0,Train
Glenroy,107 Glenroy Rd,4,h,PI,Barry,27/11/2016,13.0,3046.0,4.0,2.0,8.0,977.0,304.0,1935.0,Moreland,-37.7063,144.9273,Northern Metropolitan,8870.0,1000000.0,Train
St Kilda,14/31 Burnett St,2,u,SP,McGrath,13/08/2016,6.1,3182.0,2.0,1.0,1.0,0.0,83.0,1970.0,Port Phillip,-37.8604,144.9817,Southern Metropolitan,13240.0,475000.0,Train
Albert Park,3 Herbert St,3,h,VB,Cayzer,10/09/2016,3.3,3206.0,3.0,1.0,1.0,253.0,,,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280.0,1800000.0,Train
South Melbourne,173 Nelson Rd,4,h,S,Greg,12/08/2017,1.9,3205.0,4.0,3.0,0.0,280.0,,1890.0,Port Phillip,-37.83923,144.95113,Southern Metropolitan,5943.0,3825000.0,Train
Glen Waverley,4 Turner Ct,3,h,S,Harcourts,17/06/2017,16.7,3150.0,3.0,2.0,2.0,648.0,181.0,1980.0,Monash,-37.88255,145.14727,Eastern Metropolitan,15321.0,1550000.0,Train
Moonee Ponds,75 Bowen St,2,h,S,Nelson,8/04/2017,6.9,3039.0,2.0,1.0,2.0,313.0,95.0,1920.0,Moonee Valley,-37.7663,144.9098,Western Metropolitan,6232.0,1040000.0,Train
Sunshine West,60 Murray St,3,h,VB,hockingstuart,12/08/2017,10.5,3020.0,3.0,1.0,2.0,691.0,,,Brimbank,-37.78825,144.80098999999996,Western Metropolitan,6763.0,650000.0,Train
Elsternwick,78a Allison Rd,2,h,VB,Gary,15/10/2016,8.5,3185.0,2.0,1.0,1.0,198.0,,,Glen Eira,-37.8824,145.0133,Southern Metropolitan,4898.0,900000.0,Train
Northcote,5/216 Westgarth St,2,u,S,Jellis,24/09/2016,5.5,3070.0,2.0,1.0,1.0,671.0,,,Darebin,-37.7833,145.0135,Northern Metropolitan,11364.0,600000.0,Train
Fitzroy,116 Leicester St,2,h,VB,Harrington,27/06/2016,1.6,3065.0,2.0,2.0,1.0,64.0,138.0,1995.0,Yarra,-37.7956,144.9804,Northern Metropolitan,5825.0,800000.0,Train
Hillside,1/14 Jade Wy,3,u,S,Barry,29/07/2017,18.0,3037.0,3.0,2.0,2.0,345.0,,2005.0,Melton,-37.70428,144.74705,Western Metropolitan,5556.0,485000.0,Train
Croydon,5/15 Leigh Rd,2,t,S,Ray,8/07/2017,23.0,3136.0,2.0,1.0,1.0,2040.0,,,Maroondah,-37.80452,145.28579,Eastern Metropolitan,11925.0,480000.0,Train
Oakleigh,53 William St,3,h,SP,Buxton,15/10/2016,14.0,3166.0,3.0,2.0,2.0,544.0,146.0,1970.0,Monash,-37.9055,145.1024,Southern Metropolitan,3224.0,1050000.0,Train
Keilor Park,26 Snow St,5,h,SP,McDonald,29/07/2017,10.4,3042.0,5.0,3.0,4.0,650.0,178.0,1970.0,Brimbank,-37.72285,144.86073000000005,Western Metropolitan,1119.0,765000.0,Train
Bundoora,6/70 Grange Bvd,2,t,S,Barry,12/08/2017,12.1,3083.0,2.0,1.0,2.0,90.0,90.0,1995.0,Darebin,-37.70912,145.05181000000005,Northern Metropolitan,10175.0,505000.0,Train
Brunswick West,4/1 Allard St,2,u,S,Harrington,4/06/2016,5.9,3055.0,2.0,1.0,2.0,568.0,,,Moreland,-37.7682,144.9422,Northern Metropolitan,7082.0,473000.0,Train
Malvern,24/1231 Malvern Rd,2,u,S,Thomson,24/09/2016,7.4,3144.0,2.0,1.0,1.0,0.0,,,Stonnington,-37.852,145.0343,Southern Metropolitan,4675.0,660000.0,Train
Williamstown,4/54 Yarra St,2,u,SP,Williams,17/09/2016,8.0,3016.0,2.0,1.0,1.0,0.0,49.0,1970.0,Hobsons Bay,-37.8504,144.8924,Western Metropolitan,6380.0,375000.0,Train
Coburg,6 Stawell St,3,h,S,Brad,4/03/2017,7.8,3058.0,3.0,1.0,2.0,386.0,,,Moreland,-37.7364,144.96,Northern Metropolitan,11204.0,935500.0,Train
Armadale,8/58 Sutherland Rd,2,u,S,hockingstuart,10/12/2016,6.3,3143.0,2.0,1.0,1.0,0.0,73.0,1970.0,Stonnington,-37.8574,145.0174,Southern Metropolitan,4836.0,592500.0,Train
Cheltenham,37 Woodland Dr,3,h,SP,Ray,27/05/2017,17.9,3192.0,3.0,1.0,2.0,350.0,,,Kingston,-37.95342,145.06026,Southern Metropolitan,9758.0,755000.0,Train
Balwyn North,1/47 Kawarren St,2,u,S,Fletchers,29/07/2017,9.7,3104.0,2.0,1.0,1.0,327.0,,1975.0,Boroondara,-37.78245,145.09273000000005,Southern Metropolitan,7809.0,950000.0,Train
Bentleigh East,2/25 Brooks St,3,u,S,Woodards,28/05/2016,13.9,3165.0,3.0,2.0,2.0,261.0,,,Glen Eira,-37.9163,145.0779,Southern Metropolitan,10969.0,800000.0,Train
South Yarra,10/20 Cromwell Rd,1,u,PI,Jellis,12/08/2017,2.7,3141.0,1.0,1.0,1.0,0.0,50.0,1960.0,Stonnington,-37.8446,145.00018,Southern Metropolitan,14887.0,410000.0,Train
Cheltenham,19 Shipston Rd,3,h,S,O'Brien,3/06/2017,17.9,3192.0,3.0,1.0,4.0,605.0,130.0,1960.0,Kingston,-37.97161,145.07036000000005,Southern Metropolitan,9758.0,1240000.0,Train
Reservoir,9/23 Ashley St,2,h,PI,Ray,22/07/2017,12.0,3073.0,2.0,1.0,1.0,89.0,65.0,1965.0,Darebin,-37.71766,145.00132,Northern Metropolitan,21650.0,320000.0,Train
Braybrook,29 Hampden St,3,h,S,Barry,27/11/2016,10.8,3019.0,3.0,1.0,1.0,565.0,,,Maribyrnong,-37.7885,144.859,Western Metropolitan,3589.0,680000.0,Train
Toorak,113 Grange Rd,6,h,S,Marshall,1/07/2017,4.1,3142.0,6.0,2.0,2.0,581.0,,,Stonnington,-37.83195,145.01215,Southern Metropolitan,7217.0,2800000.0,Train
Avondale Heights,33a Deutscher St,3,u,S,Moonee,6/05/2017,10.5,3034.0,3.0,2.0,1.0,292.0,150.0,2008.0,Moonee Valley,-37.7593,144.8561,Western Metropolitan,4502.0,765000.0,Train
Mill Park,4 Carlita Cl,4,h,S,Harcourts,3/06/2017,17.9,3082.0,3.0,2.0,1.0,808.0,184.0,1980.0,Whittlesea,-37.67348,145.06982,Northern Metropolitan,10529.0,732000.0,Train
Hadfield,10 Volga St,3,h,S,Eview,8/10/2016,12.1,3046.0,3.0,1.0,4.0,692.0,,1980.0,Moreland,-37.7084,144.9412,Northern Metropolitan,2606.0,719000.0,Train
Footscray,8/11 Nicholson St,2,u,PI,Sweeney,6/05/2017,6.4,3011.0,2.0,1.0,1.0,1783.0,,1960.0,Maribyrnong,-37.7949,144.9007,Western Metropolitan,7570.0,392500.0,Train
